Name	Description	Introduced	Deprecated
ABS()	Return the absolute value		
ACOS()	Return the arc cosine		
ADDDATE()	Add time values (intervals) to a date value		
ADDTIME()	Add time		
AES_DECRYPT()	Decrypt using AES		
AES_ENCRYPT()	Encrypt using AES		
AND, &&	Logical AND		
ANY_VALUE()	Suppress ONLY_FULL_GROUP_BY value rejection		
ASCII()	Return numeric value of left-most character		
ASIN()	Return the arc sine		
asynchronous_connection_failover_add_managed()	Add group member source server configuration information to a replication channel source list	8.0.23	
asynchronous_connection_failover_add_source()	Add source server configuration information server to a replication channel source list	8.0.22	
asynchronous_connection_failover_delete_managed()	Remove a managed group from a replication channel source list	8.0.23	
asynchronous_connection_failover_delete_source()	Remove a source server from a replication channel source list	8.0.22	
asynchronous_connection_failover_reset()	Remove all settings relating to group replication asynchronous failover	8.0.27	
ATAN()	Return the arc tangent		
ATAN2(), ATAN()	Return the arc tangent of the two arguments		
AVG()	Return the average value of the argument		
BENCHMARK()	Repeatedly execute an expression		
BETWEEN ... AND ...	Whether a value is within a range of values		
BIN()	Return a string containing binary representation of a number		
BIN_TO_UUID()	Convert binary UUID to string		
BINARY	Cast a string to a binary string		8.0.27
BIT_AND()	Return bitwise AND		
BIT_COUNT()	Return the number of bits that are set		
BIT_LENGTH()	Return length of argument in bits		
BIT_OR()	Return bitwise OR		
BIT_XOR()	Return bitwise XOR		
CAN_ACCESS_COLUMN()	Internal use only		
CAN_ACCESS_DATABASE()	Internal use only		
CAN_ACCESS_TABLE()	Internal use only		
CAN_ACCESS_USER()	Internal use only	8.0.22	
CAN_ACCESS_VIEW()	Internal use only		
CASE	Case operator		
CAST()	Cast a value as a certain type		
CEIL()	Return the smallest integer value not less than the argument		
CEILING()	Return the smallest integer value not less than the argument		
CHAR()	Return the character for each integer passed		
CHAR_LENGTH()	Return number of characters in argument		
CHARACTER_LENGTH()	Synonym for CHAR_LENGTH()		
CHARSET()	Return the character set of the argument		
COALESCE()	Return the first non-NULL argument		
COERCIBILITY()	Return the collation coercibility value of the string argument		
COLLATION()	Return the collation of the string argument		
COMPRESS()	Return result as a binary string		
CONCAT()	Return concatenated string		
CONCAT_WS()	Return concatenate with separator		
CONNECTION_ID()	Return the connection ID (thread ID) for the connection		
CONV()	Convert numbers between different number bases		
CONVERT()	Cast a value as a certain type		
CONVERT_TZ()	Convert from one time zone to another		
COS()	Return the cosine		
COT()	Return the cotangent		
COUNT()	Return a count of the number of rows returned		
COUNT(DISTINCT)	Return the count of a number of different values		
CRC32()	Compute a cyclic redundancy check value		
CUME_DIST()	Cumulative distribution value		
CURDATE()	Return the current date		
CURRENT_DATE(), CURRENT_DATE	Synonyms for CURDATE()		
CURRENT_ROLE()	Return the current active roles		
CURRENT_TIME(), CURRENT_TIME	Synonyms for CURTIME()		
CURRENT_TIMESTAMP(), CURRENT_TIMESTAMP	Synonyms for NOW()		
CURRENT_USER(), CURRENT_USER	The authenticated user name and host name		
CURTIME()	Return the current time		
DATABASE()	Return the default (current) database name		
DATE()	Extract the date part of a date or datetime expression		
DATE_ADD()	Add time values (intervals) to a date value		
DATE_FORMAT()	Format date as specified		
DATE_SUB()	Subtract a time value (interval) from a date		
DATEDIFF()	Subtract two dates		
DAY()	Synonym for DAYOFMONTH()		
DAYNAME()	Return the name of the weekday		
DAYOFMONTH()	Return the day of the month (0-31)		
DAYOFWEEK()	Return the weekday index of the argument		
DAYOFYEAR()	Return the day of the year (1-366)		
DEFAULT()	Return the default value for a table column		
DEGREES()	Convert radians to degrees		
DENSE_RANK()	Rank of current row within its partition, without gaps		
DIV	Integer division		
ELT()	Return string at index number		
EXP()	Raise to the power of		
EXPORT_SET()	Return a string such that for every bit set in the value bits, you get an on string and for every unset bit, you get an off string		
EXTRACT()	Extract part of a date		
ExtractValue()	Extract a value from an XML string using XPath notation		
FIELD()	Index (position) of first argument in subsequent arguments		
FIND_IN_SET()	Index (position) of first argument within second argument		
FIRST_VALUE()	Value of argument from first row of window frame		
FLOOR()	Return the largest integer value not greater than the argument		
FORMAT()	Return a number formatted to specified number of decimal places		
FORMAT_BYTES()	Convert byte count to value with units	8.0.16	
FORMAT_PICO_TIME()	Convert time in picoseconds to value with units	8.0.16	
FOUND_ROWS()	For a SELECT with a LIMIT clause, the number of rows that would be returned were there no LIMIT clause		
FROM_BASE64()	Decode base64 encoded string and return result		
FROM_DAYS()	Convert a day number to a date		
FROM_UNIXTIME()	Format Unix timestamp as a date		
GeomCollection()	Construct geometry collection from geometries		
GeometryCollection()	Construct geometry collection from geometries		
GET_DD_COLUMN_PRIVILEGES()	Internal use only		
GET_DD_CREATE_OPTIONS()	Internal use only		
GET_DD_INDEX_SUB_PART_LENGTH()	Internal use only		
GET_FORMAT()	Return a date format string		
GET_LOCK()	Get a named lock		
GREATEST()	Return the largest argument		
GROUP_CONCAT()	Return a concatenated string		
group_replication_disable_member_action()	Disable member action for event specified	8.0.26	
group_replication_enable_member_action()	Enable member action for event specified	8.0.26	
group_replication_get_communication_protocol()	Get version of group replication communication protocol currently in use	8.0.16	
group_replication_get_write_concurrency()	Get maximum number of consensus instances currently set for group	8.0.13	
group_replication_reset_member_actions()	Reset all member actions to defaults and configuration version number to 1	8.0.26	
group_replication_set_as_primary()	Make a specific group member the primary	8.0.29	
